title,salary,company,posted,district,job_description,career level,company website,qualification,job type,years of experience
data analyst,salary,China State Construction Engineering (Hong Kong) Limited,2022-12-06,district,"Job Description:
Establish and maintain high-efficiency and high-quality in-house software development and AI project implementation process and standard
Working knowledge of SQL Server, Create Power BI (PBI) Dashboards & Reports
Develop reference modules and programs for facilitating the adoption of big data analytics
Enhance and maintain the theme pages for big data analytics platform and data sharing infrastructure
Reveal and uncover insights by exploring and mining structured and unstructured data
Apply analytical methods and algorithms to build data products that generate business insights and improve operational efficiency
Job Requirements:
University degree holder or above in relevant field (Computer Science, Software Engineering, Data Mining, Machine Learning)
Over 3 years of experience in data analyze and programming
Experience in Business Intelligence Visualization Techniques like PowerBI and DataV
Knowledge in ETL processing and methodologies
Good knowledge in development with Python OR C#.NET OR JAVA OR ReactJS, VueJS, AngularJS
Hands-on experience on Oracle, MSSQL, MySQL Server, Greenplum with GIS database administration and optimization
Experience in big data analytics and AI projects is a big plus
Strong analytical and problem-solving skills, self-motivated and able to work under pressure
Able to communicate effectively with both technical and business audience in Mandarin Chinese and English
We offer attractive remuneration package with comprehensive fringe benefits to the right candidates. Interested parties please send resume with day-time contact number, expected salary and quoting Ref. No. to Human Resources Manager, 29/F., China Overseas Building, 139 Hennessy Road, Wanchai, Hong Kong or e-mail or fax to 2528 2840.

Interested parties are invited to visit our website (www.cohl.com) for more information.

Applicants who are not invited within 2 months may consider their applications unsuccessful. All information provided by applicants will be treated in strict confidence and used only for recruitment purposes. Applicants may be considered for other suitable positions within the China Overseas Group and its related companies for one-year period, thereafter which their personal data will be destroyed.

Serving The Community 。 Prospering Hong Kong",Entry Level,https://www.cscechk.com/en/,Degree,"Full Time, Permanent",3
data analyst,salary,BDO,2022-12-06,Central and Western,"Responsibilities:
Collect data, build and maintain data pipelines, conduct data exploration and transfer data into valuable business insights
Analyze structured and unstructured data and visualize findings
Responsible for valid data analyzing process including data extraction, manipulation, processing, storage and archive
Assist ad hoc projects and perform other duties as assigned
 Requirements:
Degree in Data Science, Business Analysis Statistics, Information Technology or related discipline
2+ year of relevant experience in data analysis
Proficiency in VBA and SQL; Knowledge in Python, Tableau, Power BI, google analytics are preferable
Detail minded with strong analytical skills, presentation, interpersonal, communication and problem-solving skills
Ability to work under pressure and tight deadline
A team player with good communication skills
Good command of both written and spoken English and Chinese; including Mandarin
We are an equal opportunity employer, and offer excellent prospects and career development for the right candidate.  Interested parties please send your application with full career history, current and expected salary by clicking the Apply Now button below.
Applications will be treated in strict confidence. Personal data collected will be used for recruitment purposes only.",Middle,http://www.bdo.com.hk,Degree,"Full Time, Permanent",2
data engineer,salary,Orient Overseas Container Line Ltd (OOCL),2022-12-06,Sha Tin,"Job Description
Responsible for design, development and maintenance of Data Management Solution for Analytics, including Data Lake, Data Warehouse and customized data pipelines
Work out the conceptual model, data model and perform information gathering, and data aggregation as to support analytics and data science use cases
Coordinate with different parties to complete analytics and data science use cases
Evaluate and recommend the technical solutions, including software tools and technologies; design and develop architecture and application as to present the analysis result
Requirements
University Graduate in Computer Science or related disciplines
At least 3-5 years’ working experience on Enterprise application development with supervisory exposure in software development
Interest in data management, data analysis and analytics/business intelligence
Familiar with SQL, Spark, Scala, Python, Spotfire
Story telling experience in analytics/business intelligence area is an advantage.
A good team player with sound analytical and problem solving skills, willing to take challenges 
Good interpersonal, presentation and communication skills
Good command of spoken and written English and Chinese 
Interested parties, please submit your application letter together with detailed resume and copies of your latest transcript by clicking “Apply Now”.

OOCL is an Equal Opportunity Employer. OOCL will retain the personal data of applicants/ unsuccessful applicants for future recruitment purpose for a period of six months. All personal data will be destroyed immediately right after the abovesaid period.",Middle,http://www.oocl.com,Degree,"Full Time, Permanent",2
data engineer,salary,aimHigher Consultancy Limited,2022-12-06,district,"Company Description
Our client is a strong brand in FMCG with global operations. Due to business need, they are looking for a Data Engineer to join their team
Responsibilities
Handle the implementations of data analytics project
Work closely with business stakeholders on users’ requirements 
Manage data lake, data warehouse and data-collection tasks.
Monitor and support data warehouse, BI platforms and perform ETL.
Requirements
Diploma or above in Computer Science, Information Technology or equivalent
Minimum 2 years of experience in Data Engineering
Solid experience in programming such as Python, SQL or R
Knowledge in database such as Oracle and MySQL
Experience in BI tools such as Qlik Sense, Tableau or Power BI is a plus
Experience in cloud such as AWS / Azure  is a plus
Strong problem-solving skills and communication skills
Interested parties please send your updated resume in WORD format with current and expected salaries (quoting Employer Ref:)",Middle,http://www.aimhigher.com,Degree,Full Time,2
it,salary,Manpower Services (Hong Kong) Limited,2022-12-06,Southern,"Responsibilities
Air network service and process improvement
Analyze end-to-end package movement process and collaborate with process owners to identify service and process improvement opportunities
Design and evaluate various improvement initiatives
Summarize and present findings and recommendations to executives and stakeholders
Plan and lead project implementation with cross-functional teams using Project Management best practices
Prepare project updates, reports and presentations
Support various strategic, tactical and contingency assignments
Data analysis and visualization
Design programs to collect and process data, and build & evaluate data models
Extract, clean, and transform structured and unstructured data from various sources in support of sustainability reporting and analytics requirements
Explore and analyze data using statistical and visualization techniques
Build BI dashboards to deliver actionable insights to business users & executives
Support enhancement/automation data processing and other data analytics projects
Process automation
Collect and analyze user process automation request
Develop and document automation solution
Implement the automation and provide continuous support to user
Requirement
A Bachelor degree in Engineering, IT, Computer Science, Statistics, or similar disciplines
3+ years solid experience in data analytics, dashboard development and database programming
Basic knowledge on software development principles
Strong data analytics, visualization and presentation skills
Experience in robotic process automation or other automation tools
Proficiency in Python, SQL, and VBA. Knowledge in R or Power BI is an advantage
Logical thinking and capable of articulating complex problems and solutions
Fluency in written and spoken English is a must; and proficiency in Mandarin is an advantage",Middle,http://www.manpowergroupgrc.hk,Degree,Contract,3
machine learning,salary,A.S. Watson Retail (HK) Limited,2022-12-05,Sha Tin," Come and join a Winning Team
 We are Awesome !
 Why Should You Join Us?
 At ASW, we believe in our people, in teamwork and the importance of your personal growth. If you are looking for the opportunity to join our award-winning international family with 16,300+ stores across 28 markets in Asia and Europe, the ASW family welcomes you…  #BePartofMORE
 You can enjoy :   
Convenient office location, less than 5 min. walk from MTR
Free round-trip lunchtime shuttle bus services to Shatin
Comprehensive Medical and Life insurance coverage, including your spouse and children
Well-equipped Gym inside our office building
Onsite Clinic and Lactation Room
Role Purpose:
We are looking for a Machine Learning Engineer to work with our Data Science team to develop scalable and maintainable data-driven solutions. The primary focus of the role is to productionalize and scale machine learning models. You will be working closely with our Data Architects, Engineers and Data Scientist to build end-to-end ML applications and scale the solution to different business units.
A typical day in this Role: 
Solving complex business problems by designing and implementing algorithms and models.
Measuring and optimizing the performance of algorithms and models.
Enhancing data collection procedures to include information that is relevant to building advanced analytics.
Working closely with project managers and commercial users to understand business requirements and translating them into technical requirements.
Bringing in best practices in advanced data analytics, predictive modeling and other development processes.
Developing automated data pipeline with a continuous integration mindset.
Assisting in promoting data culture and best practices within the organization.

 This job is a good fit for You if:  
You are a Problem Solver - You make decisions based on evidence-based opinions. When you do something new, you seek to understand as much as possible and don’t jump in but conduct your due diligence and plan for moving forward.
You are an Expert - You have in-depth knowledge of a key area and seek possible solutions through study and research. You tend to be more reserved, and they don’t need to be in charge. You work well in teams and are also comfortable working alone. 
You are a Detailer - You like to dig into the details, and you excel at minimizing risk. You deliberate fully before making decisions and will need to see all the facts before reaching a conclusion. You follow up rigorously.
Success will depend on:  
Degree in Computer Science, Statistics, Mathematics, Machine Learning or related fields.
At least 2 years of experience as a Machine Learning Engineer or Data Scientist.
Self-motivated, adaptable in a fast-paced environment and with strong sense of ownership. ·
Design, review and deploy Machine Learning solutions to a distributed machine learning platform on a predominately Microsoft Azure architecture.
Advanced proficiency in Python, Spark or R. Familiar with ML packages (scikit-learn, PyTorch, LightGBM, etc..).
With a good understanding of software engineering and DevOps skills (Docker, Git, CI/CD, etc..).
Able to communicate the analytic results in a clear and effective manner.
What is holding you back?
 Don’t miss out on this great chance to shape Your life!
  Apply now! 
Interested parties, please send your resume with current and expected salary package to our Company’s email.  

We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and be used only for consideration of your application for relevant/ similar posts within the A.S. Watson Group. ",Entry Level,https://www.aswatsoncareers.com/,Degree,"Full Time, Permanent",2
data analyst,salary,Sa Sa Cosmetic Company Limited,2022-12-05,Eastern,"Responsibilities

You will be working closely with various business and technical teams, and transform business requirements into value-added solutions with innovative design. You will be playing a key role in delivering the solutions by performing different activities in the business analysis life cycle:
Responsible for business requirement elicitation, quality assurance planning, testing, post-implementation transition, and related documentations
Support feasibility study, solution design, service provider evaluation for business initiatives
Resource prioritization and scheduling with internal business stakeholders, IT functional units and external consultants
Lead multiple small to medium size initiatives or projects
Scope includes retail supply chain system components and Online-to-Offline processes, such as Point-of-Sales, Merchandising System, BI, Financial, Social Media, etc.
Requirements
Degree or Diploma in Information Systems, Computer Science, Business, Engineering or related discipline
3-5 years of relevant experience on Data Warehouse and Data analysis
MS Power BI & Tableau experience is a must
Azure Synapse and SQL DB experience is highly prefer
Good understanding of retail industry; experience in loyalty, eCommerce, social media and other retail technologies is definitely an advantage
Target oriented, strong analytical mind, and excellent communication & interpersonal skill
Capable to work independently and collaborate with stakeholders from different aspects
Good command of spoken and written English and Chinese
We offer
5 - day work week
Medical Benefits
Annual Merit Bonus
Performance Bonus
Staff Purchase Discounts
Staff Recreation Activity
Shuttle Bus Service
Education Sponsorship",Entry Level,http://corp.sasa.com/en/home,Non-Degree Tertiary,Full Time,3
data engineer,salary,Pathos Consultancy Limited,2022-12-06,Central and Western,"The Company
Our client is a one of the leading insurance company in Asia and is seeing continued growth in their business globally. They are looking for experienced and self-motivated Data Engineer to join their team and participate in wide range of digital projects in various industries.  
The Role 
Build end-to-end data pipelines including data collection, transformation, quality and integration as part of data analytics solution delivery
Participate in project activities for solution implementation, including system analysis and design, development and testing, rollout and maintenance support
Collaborate with a team of IT professionals to set specifications for new applications and develop user stories
Develop technical documents and handbooks to accurately represent application design and code
Create technical documentation for reference and reporting
Your Profile
Solid Experience in Oracle SQL and PL/SQL 
Solid Experience in SQL Server and T-SQL
Experience in performing ETL, Stored Procedure development, performance tuning and schema design
Experience in SQL Server Agent Job
Experience in using batch jobs for data transfer and data transformation 
Experience in MS SQL is an advantage
Knowledge in S3 Sync is an advantage
Good project management and communication
Apply Today
To apply online (Word attachment only), please click the 'Apply' button. Interested parties please apply with the most updated CV with expected salary and available date via JobsDB. Applicants who do not hear from us within 2 weeks may consider their applications unsuccessful. 
About Pathos
We are Pathos Consultancy Limited, a boutique recruitment firm based in Hong Kong strategically placing our candidates across all levels in permanent, temporary and contract roles.  We specialize in IT and finance roles for banking, financial services and listed MNC sectors.",Middle,http://www.pathos.solutions,Non-Degree Tertiary,"Full Time, Permanent",2
data analyst,salary,PERSOLKELLY Hong Kong Limited,2022-12-05,Central and Western,"Our client, is one of the world's largest express transportation companies, providing fast and reliable delivery to every US address and to more than 220 countries and territories. They are currently looking for a NOC/FMC Specialist to participate their team.

Responsibilities
Air network service and process improvement
Analyze end-to-end package movement process and collaborate with process owners to identify service and process improvement opportunities
Design and evaluate various improvement initiatives
Summarize and present findings and recommendations to executives and stakeholders
Plan and lead project implementation with cross-functional teams using Project Management best practices
Prepare project updates, reports and presentations
Support various strategic, tactical and contingency assignments
Data analysis and visualization
Design programsto collect and process data, and build & evaluate data models
Extract, clean, and transform structured and unstructured data from various sources in support of sustainability reporting and analytics requirements
Explore and analyze data using statistical and visualization techniques
Build BI dashboards to deliver actionable insights to business users & executives
Support enhancement/automation data processing and other data analytics projects
Process automation
Collect and analyze user process automation request
Develop and document automation solution
Implement the automation and provide continuous support to user
Requirement
A Bachelor degree in Engineering, IT, Computer Science, Statistics, or similar disciplines
3+ years solid experience in data analytics, dashboard development and database programming
Basic knowledge on software development principles
Strong data analytics, visualization and presentation skills
Experience in robotic process automation or other automation tools
Proficiency in Python, SQL, and VBA. Knowledge in R or Power BI is an advantage
Logical thinking and capable of articulating complex problems and solutions
Fluency in written and spoken English is a must; and proficiency in Mandarin is an advantage
Candidate with less experience will also be considered
To apply for this position, please send your full résumé to Contract_hk @persolkelly.com in word format indicating the reference number and title. If you are not contacted by our consultants within 2 weeks, please consider your application unsuccessful. All applications will be treated in strict confidence, and used for recruitment purposes only in accordance with PERSOLKELLY Hong Kong Limited’s Privacy Notice.",Entry Level,http://www.persolkelly.com.hk,Degree,Full Time,1
manager,salary,HKT,2022-12-05,Eastern,"Job summary
You will be working closely with Sales and Marketing team, Product team and Business Performance team to perform quantitative data analysis on business performance. You will deliver intelligence and insight across our customer base through advanced analytics, segmentation and modeling, understand customer characteristics, behaviors, propensity and value and produce and present regular reports.
 
Your role
Identify and execute data analytics to continually increase knowledge of customer behaviors and trends across businesses and brands and meet the business objectives
Apply data mining and modeling techniques to analyze around customer segmentation and customer behavior for retention, engagement and growth
Closely monitor the day-to-day business and identify the potential risks and opportunities
Develop and promote the data-driven approaches for the purpose of generating business insight, addressing unanswered business issues, and translate unstructured business questions into quantitative problems
Provide guidance and input to data analysts to analyze customer behavioral data to identify patterns and uncover opportunities; Lead and implement the data flow, data visualization, BI reporting and dashboard
Participate in cross-team strategic meeting on customer analytics and business intelligence, collaborate with cross teams to work out actionable plans and tactical solutions
Partner with IT to drive long-term development of business intelligence and innovations on Cloud, Big Data and AI solutions
 To succeed in this role
University degree holder in IT, Statistics, Quantitative Analysis or related disciplines
At least 5 years’ experience in database analytics and analytical marketing
Proficiency in SQL, Tableau, and advanced statistical tool such as Python, SAS, R & SPSS
Solid experience and skills set in data warehouse management, design and data engineering, data visualization, business metrics/ scorecards, campaign analysis, experimental design and advance modeling techniques
Strong analytical, business acumen, problem-solving and inter-personal skills
Strong sense of data security, customer privacy and understanding of data governance
Capable of work effectively and efficiently, and work well under pressure
Excellent command of written and spoken English and Chinese
Candidate with more experience will be considered as Data Analytics Manager.


HKT is an equal opportunity employer and welcomes applications from all qualified candidates. Information provided will be treated in strict confidence and will only be used for recruitment-related purposes.
Personal data provided by job applicants will be used strictly in accordance with the employer's privacy statement (www.hkt.com/privacy-statement), a copy of which will be provided immediately upon request.",Middle,http://www.pccw.com,Degree,"Full Time, Permanent",5
